SOURCEID,SAMPLEID,LONWGS84,LATWGS84,UHDICM,LHDICM,ORCDRC,BLD
Alterra_351,351_1,5.80215669,51.48893782,0,20,94.54756381,1.015
Alterra_351,351_2,5.80215669,51.48893782,20,25,80.62645012,0.956
Alterra_351,351_3,5.80215669,51.48893782,25,30,23.78190255,1.417
Alterra_351,351_4,5.80215669,51.48893782,30,40,11.02088167,1.623
Alterra_351,351_5,5.80215669,51.48893782,40,60,7.540603248,1.754
Alterra_364,364_1,3.601963381,51.53752104,0,25,5.220417633,NA
Alterra_364,364_3,3.601963381,51.53752104,40,60,1.160092807,NA
Alterra_372,372_1,3.583704542,51.36183463,0,30,10.44083527,NA
Alterra_372,372_2,3.583704542,51.36183463,30,80,6.380510441,NA
Alterra_372,372_3,3.583704542,51.36183463,80,100,5.800464037,NA
Alterra_372,372_4,3.583704542,51.36183463,100,150,7.540603248,NA
Alterra_379,379_1,3.589958777,51.49476687,0,30,11.60092807,1.63
Alterra_379,379_2,3.589958777,51.49476687,30,50,4.060324826,1.62
Alterra_379,379_3,3.589958777,51.49476687,50,85,2.900232019,1.55
Alterra_379,379_4,3.589958777,51.49476687,85,120,2.900232019,NA
Alterra_403,403_1,3.551432152,51.46795973,0,35,20.30162413,NA
Alterra_403,403_2,3.551432152,51.46795973,35,50,26.68213457,NA
Alterra_403,403_3,3.551432152,51.46795973,50,60,42.92343387,NA
Alterra_403,403_4,3.551432152,51.46795973,60,70,143.2714617,NA
Alterra_403,403_5,3.551432152,51.46795973,70,80,17.98143852,NA
Alterra_403,403_6,3.551432152,51.46795973,80,120,6.960556845,NA
Alterra_419,419_2,6.003248982,51.61254484,5,20,29.58236659,NA
Alterra_419,419_3,6.003248982,51.61254484,20,38,20.30162413,NA
Alterra_419,419_4,6.003248982,51.61254484,38,72,10.44083527,NA
Alterra_419,419_5,6.003248982,51.61254484,72,115,4.060324826,NA
Alterra_422,422_1,6.045601594,51.63586471,0,29,9.860788863,NA
Alterra_422,422_2,6.045601594,51.63586471,29,52,6.380510441,NA
Alterra_422,422_3,6.045601594,51.63586471,52,80,2.320185615,NA
Alterra_422,422_4,6.045601594,51.63586471,80,115,0,NA
Alterra_425,425_1,3.545253667,51.46768255,0,25,13.92111369,NA
Alterra_425,425_2,3.545253667,51.46768255,25,34,17.98143852,NA
Alterra_425,425_3,3.545253667,51.46768255,34,43,26.68213457,NA
Alterra_425,425_4,3.545253667,51.46768255,43,56,28.42227378,NA
Alterra_425,425_5,3.545253667,51.46768255,56,80,4.060324826,NA
Alterra_429,429_1,3.526039871,51.51161178,0,25,2.900232019,NA
Alterra_429,429_2,3.526039871,51.51161178,25,50,4.64037123,NA
Alterra_429,429_3,3.526039871,51.51161178,50,80,5.800464037,NA
Alterra_429,429_4,3.526039871,51.51161178,80,130,5.800464037,NA
Alterra_438,438_1,5.760098292,51.66256106,0,32,32.48259861,NA
Alterra_438,438_2,5.760098292,51.66256106,32,38,0.580046404,NA
Alterra_438,438_3,5.760098292,51.66256106,38,70,0.580046404,NA
Alterra_438,438_4,5.760098292,51.66256106,70,95,0.580046404,NA
Alterra_438,438_5,5.760098292,51.66256106,95,120,1.160092807,NA
Alterra_440,440_1,5.806378344,51.62667459,5,27,26.10208817,NA
Alterra_440,440_3,5.806378344,51.62667459,30,50,5.220417633,NA
Alterra_440,440_4,5.806378344,51.62667459,60,80,0,NA
Alterra_441,441_1,5.839595258,51.64115739,0,24,20.30162413,NA
Alterra_441,441_2,5.839595258,51.64115739,24,43,20.88167053,NA
Alterra_441,441_3,5.839595258,51.64115739,43,68,26.68213457,NA
Alterra_441,441_4,5.839595258,51.64115739,68,98,22.62180974,NA
Alterra_441,441_5,5.839595258,51.64115739,98,132,25.52204176,NA
Alterra_441,441_6,5.839595258,51.64115739,132,140,4.060324826,NA
Alterra_445,445_1,5.903504538,51.60161212,0,22,33.64269142,NA
Alterra_445,445_3,5.903504538,51.60161212,24,40,15.0812065,NA
Alterra_445,445_4,5.903504538,51.60161212,40,70,3.480278422,NA
Alterra_445,445_5,5.903504538,51.60161212,70,120,0.580046404,NA
Alterra_454,454_1,5.863424566,51.7296907,0,28,9.280742459,NA
Alterra_454,454_2,5.863424566,51.7296907,28,52,4.060324826,NA
Alterra_454,454_3,5.863424566,51.7296907,52,78,2.900232019,NA
